Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
114,493,493,136.544,0.332,1,200,239,355,397,217.863,377.399,217.863,377.399,19.282,13.532,-50.661,1.425,816,0.604,46.325,147.339,220.565,380.126,43.965,30.866,107.526,46.214,0.998,218,378,7,6.763,3.301
115,396,396,108.062,0.426,1,396,414,360,403,406.111,380.154,406.111,380.154,21.672,6.534,75.090,3.317,514,0.770,45.222,71.966,406.820,381.240,44.548,16.829,81.870,46.014,1.018,404,374,6,7.333,3.835
116,5,5,8.045,0.971,1,9,12,367,370,10.500,368.500,10.500,368.500,1.390,1.390,0.000,1.000,5,1.000,3.162,71.565,10.500,368.500,2.828,2.828,45.000,3.414,1.080,10,367,1,1.667,1.707
117,1095,1095,182.090,0.415,1,151,200,368,407,176.134,386.588,176.134,386.588,23.997,16.759,-36.935,1.432,1488,0.736,53.535,147.200,175.500,387.500,49.000,39.000,0.000,53.414,0.998,182,383,11,10.976,2.428
118,2888,2888,323.806,0.346,1,226,306,370,436,266.113,404.358,266.113,404.358,37.633,26.552,-15.008,1.417,3824,0.755,84.694,157.068,266.830,404.927,75.720,60.917,9.293,85.014,1.004,267,404,22,18.041,1.932
119,18,18,15.629,0.926,1,0,6,371,375,2.611,372.889,2.611,372.889,3.141,1.923,-19.616,1.633,18,1.000,6.708,153.435,3.000,373.000,6.000,4.000,0.000,6.814,1.016,2,372,2,2.733,1.704
120,5,5,8.045,0.971,1,271,274,372,375,272.500,373.500,272.500,373.500,1.390,1.390,0.000,1.000,5,1.000,3.162,71.565,272.500,373.500,2.828,2.828,45.000,3.414,1.080,272,372,1,1.667,1.707
121,10,10,11.281,0.987,1,201,205,375,379,203.200,376.800,203.200,376.800,2.082,1.677,45.000,1.241,10,1.000,4.472,63.435,203.250,376.750,4.243,3.536,45.000,4.614,1.032,202,375,1,1.667,2.307
122,8,8,10.726,0.874,1,199,203,379,383,201.000,381.000,201.000,381.000,2.198,1.354,45.000,1.624,8,1.000,4.472,63.435,201.000,381.000,4.243,2.828,45.000,4.614,1.032,200,379,1,1.667,2.307
123,178,178,65.753,0.517,1,127,155,380,394,141.506,387.758,141.506,387.758,14.941,4.071,19.270,3.670,204,0.873,29.732,19.654,140.405,387.932,29.703,9.190,17.103,30.214,1.016,137,386,4,5.406,3.777
124,33,33,21.317,0.913,1,0,7,383,389,2.833,385.742,2.833,385.742,3.770,2.987,-41.531,1.262,34,0.971,8.602,144.462,3.500,386.000,7.000,6.000,0.000,8.614,1.001,0,385,3,3.800,1.436
125,16,16,14.518,0.954,1,401,405,394,400,403.000,397.000,403.000,397.000,2.853,1.878,-65.301,1.519,16,1.000,6.325,108.435,403.000,397.000,6.000,4.000,90.000,6.614,1.046,403,396,2,3.000,1.654
126,372,372,103.715,0.435,1,383,410,400,432,396.981,415.997,396.981,415.997,13.407,11.664,-54.178,1.149,540,0.689,33.242,105.709,396.764,416.103,26.912,23.534,66.371,34.014,1.023,400,413,6,6.987,2.835
127,8,8,9.941,1.017,1,228,231,410,414,229.500,412.000,229.500,412.000,1.826,1.528,90.000,1.195,8,1.000,4.123,75.964,229.500,412.000,4.000,3.000,90.000,4.414,1.071,229,410,1,1.667,2.207
128,348,348,110.839,0.356,1,335,364,433,463,347.264,451.207,347.264,451.207,17.696,9.049,53.820,1.956,527,0.660,38.419,51.340,346.566,452.878,38.073,23.274,42.274,39.014,1.015,346,452,6,5.745,3.251
